,0,1,2
15-10-2019,1.799204798,0.232306673,1.881134083
16-10-2019,1.647241089,0.136508164,2.556623652
17-10-2019,1.841460078,0.137734558,2.780711005
18-10-2019,2.266082112,0.137699914,4.023241449
19-10-2019,2.289854195,0.136582864,4.649192318
20-10-2019,2.124348087,0.138395184,3.95244967
21-10-2019,1.600034901,0.136753496,4.197333266
22-10-2019,1.546416814,0.136381258,3.292241219
23-10-2019,1.588967179,0.137483565,2.523938042
24-10-2019,1.801254023,0.136836392,2.996278934
25-10-2019,1.49544694,0.136164287,3.642658521
26-10-2019,1.856030031,0.138038939,3.998871646
27-10-2019,1.819418373,0.136761167,3.751064808
28-10-2019,1.402839478,0.138123841,2.43983948
29-10-2019,1.609371475,0.137948069,3.153360548
30-10-2019,2.017089435,0.137535673,3.889899892
31-10-2019,1.576659147,0.13709945,2.830062419
01-11-2019,1.700926033,0.137530794,3.940935575
02-11-2019,1.662897021,0.137659646,3.61761791
03-11-2019,1.566376733,0.136892149,4.317267318
04-11-2019,1.84801541,0.138667083,2.920664315
05-11-2019,1.694180645,0.136238348,3.420476009
06-11-2019,1.88932771,0.136635549,3.930163148
07-11-2019,1.570516207,0.138373386,2.912409769
08-11-2019,1.691400695,0.137509067,3.41068418
09-11-2019,2.102243908,0.137314113,4.762802502
10-11-2019,1.674748833,0.137940642,3.095534391
11-11-2019,1.798395014,0.137660046,3.494114764
12-11-2019,1.661000433,0.136885852,2.761424899
13-11-2019,1.616026251,0.137647407,3.690588961
14-11-2019,1.24442692,0.13681895,2.872409132
15-11-2019,1.54683541,0.138186675,2.793322878
16-11-2019,1.299950548,0.138096213,2.737222065
17-11-2019,1.672439991,0.138419245,3.142626593
18-11-2019,1.538253302,0.137402432,2.430815774
19-11-2019,1.750580707,0.138578589,3.824544631
20-11-2019,1.540249463,0.137271738,2.913928275
21-11-2019,1.69489793,0.137831349,2.960139355
22-11-2019,1.412311114,0.137923731,3.291674304
23-11-2019,1.533332323,0.137869164,4.054568715
24-11-2019,1.492401315,0.137160456,2.850675855
25-11-2019,1.707121951,0.138625569,4.155077635
26-11-2019,1.723138832,0.137528765,3.126618632
27-11-2019,1.244858516,0.13741106,2.25600472
28-11-2019,1.38100125,0.137414667,2.576144218
29-11-2019,1.644575192,0.138470572,2.838148166
30-11-2019,1.660598606,0.137559021,3.191357414
01-12-2019,1.482080669,0.138061321,2.39024224
02-12-2019,1.650707369,0.137945705,2.616971649
03-12-2019,1.383258547,0.137684976,2.680030977
04-12-2019,1.500183046,0.137864051,2.850634356
05-12-2019,1.57140526,0.137786105,2.975626613
06-12-2019,1.388132022,0.137983371,2.551032036
07-12-2019,1.38269464,0.13891772,2.865005269
08-12-2019,1.598867919,0.137231657,4.379455979
09-12-2019,1.709443545,0.137407733,3.711581514
10-12-2019,1.55012642,0.138590042,2.56872712
11-12-2019,2.169151684,0.137593889,3.248690796
12-12-2019,1.676461382,0.137903932,2.973084185
13-12-2019,1.749751928,0.138176743,3.003399776
14-12-2019,1.488084733,0.137696265,2.78148431
15-12-2019,1.602285389,0.13845678,3.365671222
16-12-2019,1.193831764,0.13864416,2.235939826
17-12-2019,1.188852399,0.137997645,2.920339686
18-12-2019,1.348757825,0.137554871,2.646216717
19-12-2019,1.238470071,0.13851772,3.104295979
20-12-2019,1.662060923,0.138321724,2.718300425
21-12-2019,1.602195169,0.137311204,2.62906441
22-12-2019,1.694077791,0.137868979,3.648391419
23-12-2019,1.501171657,0.137374494,3.428584065
24-12-2019,1.445972662,0.137768252,2.976012209
25-12-2019,1.554328201,0.13952698,2.572979083
26-12-2019,1.633260417,0.138404681,3.562018245
27-12-2019,2.051492995,0.139798487,3.476432485
28-12-2019,2.234308708,0.140524663,4.134505552
29-12-2019,1.710989457,0.139534121,2.379346341
30-12-2019,2.040266456,0.139723894,3.091811909
31-12-2019,2.164672383,0.138773154,4.539782966
01-01-2020,2.517756245,0.140953344,4.192876755
02-01-2020,2.127409294,0.140959333,3.185315864
03-01-2020,1.944606283,0.140320567,2.800729853
04-01-2020,2.188720261,0.14042417,3.89534081
05-01-2020,2.693487178,0.14009764,4.775241039
06-01-2020,2.952666841,0.14165229,4.115711792
07-01-2020,1.851486026,0.139463163,4.373914842
08-01-2020,2.137432918,0.139518107,3.834627724
09-01-2020,2.30804427,0.140723647,2.963254644
10-01-2020,2.439528864,0.139845082,4.454929649
11-01-2020,2.223239635,0.140255467,4.577361666
12-01-2020,2.32132083,0.14124079,3.561294153
13-01-2020,2.901311729,0.141666343,4.948246594
14-01-2020,2.223823545,0.139778719,3.57708244
15-01-2020,1.693046743,0.139862489,2.845652208
16-01-2020,2.677794581,0.141573828,4.916162882
17-01-2020,2.12399611,0.139845806,3.511009837
18-01-2020,2.090152284,0.140492439,2.989484713
19-01-2020,1.969609322,0.141851867,2.99608324
20-01-2020,2.284382672,0.14825119,3.642466547
21-01-2020,1.916754878,0.138732635,3.380603275
22-01-2020,1.683369753,0.138428289,2.839015075
23-01-2020,2.737335717,0.141280356,4.027453053
24-01-2020,1.902137433,0.140049043,2.948966957
25-01-2020,1.945933894,0.140150935,3.068120809
26-01-2020,1.779961848,0.139569193,3.181217797
27-01-2020,2.942486451,0.141941837,4.713198129
28-01-2020,1.915475277,0.140001908,3.542808852
29-01-2020,1.899565858,0.139962403,3.943916295
30-01-2020,2.01795335,0.149642635,3.722201242
31-01-2020,1.909956363,0.141033709,2.978011444
01-02-2020,2.209551374,0.140625741,3.143094538
02-02-2020,2.005874784,0.140698444,3.539484767
03-02-2020,1.994781178,0.141093285,3.444529627
04-02-2020,2.198826189,0.140411158,3.774628792
05-02-2020,2.580783639,0.140695795,3.312110358
06-02-2020,2.666295388,0.142006021,3.626606781
07-02-2020,2.365066238,0.140408972,3.874396277
08-02-2020,1.690558848,0.140286845,2.801403083
09-02-2020,2.068812265,0.139931387,3.42310622
10-02-2020,2.145999123,0.138942294,2.864498558
11-02-2020,2.858781589,0.142092974,4.539281435
12-02-2020,2.228563698,0.140704283,3.247946624
13-02-2020,2.12788637,0.139176203,4.476339968
14-02-2020,2.244424948,0.140538396,3.628901517
15-02-2020,1.847506662,0.138554525,3.594252881
16-02-2020,1.916992125,0.139831386,3.404099841
17-02-2020,2.160559649,0.140028361,3.035099431
18-02-2020,2.398587855,0.141860195,3.975745288
19-02-2020,1.896399202,0.140226218,3.273282321
20-02-2020,1.872547968,0.139051692,3.315313856
21-02-2020,1.989673654,0.140432749,3.09756808
22-02-2020,2.336323901,0.141021122,3.857578154
23-02-2020,1.585239512,0.139925401,2.408426194
24-02-2020,1.756283479,0.14093412,3.114930568
25-02-2020,1.476904203,0.139006739,2.352403942
26-02-2020,1.886524773,0.139331708,3.172285809
27-02-2020,1.639094973,0.140975859,2.993420309
28-02-2020,2.172031192,0.141840346,3.236032705
29-02-2020,2.307855569,0.141554121,2.917611988
01-03-2020,2.026807173,0.141615475,3.311784949
02-03-2020,1.802350163,0.141000195,2.581556708
03-03-2020,1.792844247,0.142050893,2.731415417
04-03-2020,1.574540159,0.141853674,2.876203255
05-03-2020,1.862913593,0.141344717,3.388877997
06-03-2020,2.181888865,0.140667319,3.490505141
07-03-2020,1.964051423,0.140774708,2.933765638
08-03-2020,2.416305822,0.140302005,3.428318792
09-03-2020,1.766001934,0.140419745,2.834359231
